Player ID,Player name,Opponent Team,Mat,Inns,NNO,Runs,HS,Not Out,Avg,BF,SR,100s,50s,0s,4s,6s
587,Ravindra Jadeja,Australia,11,5.0,2.0,67.0,44.0,1,22.33,44.0,152.27,0.0,0.0,0.0,6.0,2.0
587,Ravindra Jadeja,Bangladesh,5,2.0,1.0,12.0,12.0,0,12.0,8.0,150.0,0.0,0.0,0.0,2.0,0.0
587,Ravindra Jadeja,England,7,7.0,3.0,102.0,46.0,1,25.5,82.0,124.39,0.0,0.0,1.0,9.0,1.0
587,Ravindra Jadeja,New Zealand,6,4.0,2.0,55.0,26.0,1,27.5,43.0,127.9,0.0,0.0,1.0,3.0,3.0
587,Ravindra Jadeja,Pakistan,7,4.0,0.0,50.0,35.0,0,12.5,47.0,106.38,0.0,0.0,1.0,3.0,2.0
587,Ravindra Jadeja,South Africa,8,5.0,1.0,51.0,19.0,0,12.75,41.0,124.39,0.0,0.0,0.0,3.0,2.0
587,Ravindra Jadeja,Sri Lanka,10,6.0,4.0,82.0,45.0,1,41.0,54.0,151.85,0.0,0.0,0.0,10.0,1.0
587,Ravindra Jadeja,West Indies,12,7.0,4.0,89.0,27.0,0,29.66,81.0,109.87,0.0,0.0,0.0,2.0,3.0
10896,Rinku Singh,Afghanistan,4,3.0,3.0,94.0,69.0,1,,57.0,164.91,0.0,1.0,0.0,5.0,6.0
10896,Rinku Singh,Australia,5,4.0,2.0,105.0,46.0,0,52.5,60.0,175.0,0.0,0.0,0.0,13.0,4.0
10896,Rinku Singh,Ireland,2,1.0,0.0,38.0,38.0,0,38.0,21.0,180.95,0.0,0.0,0.0,2.0,3.0
10896,Rinku Singh,Nepal,1,1.0,1.0,37.0,37.0,1,,15.0,246.66,0.0,0.0,0.0,2.0,4.0
10896,Rinku Singh,South Africa,2,2.0,1.0,82.0,68.0,1,82.0,49.0,167.34,0.0,1.0,0.0,9.0,3.0
10896,Rinku Singh,Sri Lanka,3,2.0,0.0,2.0,1.0,0,1.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0
10896,Rinku Singh,Zimbabwe,5,4.0,3.0,60.0,48.0,1,60.0,34.0,176.47,0.0,0.0,1.0,2.0,6.0
10744,Rishabh Pant,Afghanistan,3,3.0,2.0,67.0,27.0,1,67.0,40.0,167.5,0.0,0.0,0.0,8.0,3.0
10744,Rishabh Pant,Australia,7,5.0,0.0,39.0,20.0,0,7.8,42.0,92.85,0.0,0.0,1.0,2.0,2.0
10744,Rishabh Pant,Bangladesh,5,4.0,0.0,76.0,36.0,0,19.0,67.0,113.43,0.0,0.0,0.0,8.0,2.0
10744,Rishabh Pant,England,10,9.0,1.0,144.0,30.0,0,18.0,112.0,128.57,0.0,0.0,0.0,17.0,4.0
10744,Rishabh Pant,Ireland,1,1.0,1.0,36.0,36.0,1,,26.0,138.46,0.0,0.0,0.0,3.0,2.0
10744,Rishabh Pant,New Zealand,9,9.0,3.0,134.0,40.0,1,22.33,116.0,115.51,0.0,0.0,0.0,10.0,6.0
