Bowler ID,Player Name,Opponent,Innings,Total Balls Bowled,Total Wickets,Total Runs Conceded,Economy,Total Dot Balls,Dot Ball %,Powerplay Balls,Powerplay Wickets,Powerplay Runs,Middle Overs Balls,Middle Overs Wickets,Middle Overs Runs,Death Overs Balls,Death Overs Wickets,Death Overs Runs
9311,Jasprit Bumrah,South Africa,1,24,2,19,4.75,14,58.333333333333336,24,2,26,0,0,0,24,2,12
10952,Khaleel Ahmed,Zimbabwe,3,66,3,81,7.363636363636363,39,59.09090909090909,66,1,84,0,0,0,18,2,25
10754,Mukesh Kumar,Zimbabwe,3,61,8,77,7.573770491803279,41,67.21311475409836,60,6,68,0,0,0,19,3,26
14659,Ravi Bishnoi,Zimbabwe,5,110,8,109,5.945454545454545,61,55.45454545454545,30,2,26,78,5,67,26,5,29
12086,Abhishek Sharma,Zimbabwe,5,74,2,116,9.405405405405405,24,32.432432432432435,2,0,19,78,1,109,6,1,5
9781,Avesh Khan,Zimbabwe,3,66,7,86,7.818181818181818,35,53.03030303030303,24,4,29,24,4,20,42,1,66
10945,Washington Sundar,Zimbabwe,5,108,9,93,5.166666666666667,46,42.592592592592595,6,0,5,96,10,67,30,1,32
12305,Riyan Parag,Zimbabwe,1,6,0,5,5.0,2,33.33333333333333,0,0,0,12,0,10,0,0,0
11195,Shivam Dubey,Zimbabwe,3,48,3,63,7.875,16,33.33333333333333,0,0,0,54,3,80,6,0,10
12305,Riyan Parag,Sri Lanka,3,56,4,62,6.642857142857143,22,39.285714285714285,0,0,0,48,0,57,16,8,10
10952,Khaleel Ahmed,Sri Lanka,1,17,0,29,10.235294117647058,14,82.35294117647058,24,0,34,0,0,0,10,0,24
10945,Washington Sundar,Sri Lanka,1,27,4,26,5.777777777777778,13,48.148148148148145,18,4,18,24,0,30,12,4,4
10896,Rinku Singh,Sri Lanka,1,6,2,3,3.0,4,66.66666666666666,0,0,0,0,0,0,12,4,6
7915,Suryakumar Yadav,Sri Lanka,1,6,2,5,5.0,3,50.0,0,0,0,0,0,0,12,4,10
