Player ID,Player Name,Overs Bowled,Balls_Bowled,Maidens,Runs Conceded,Wickets,Economy Rate,Dot Ball %,Boundary %,Extras Given,Wickets Per Over,Bowling Strike Rate,Bowling Average,Match Number
8808,Axar Patel,4.0,24.0,0.0,17.0,3.0,4.25,50.0,4.17,0.0,1.11,8.0,5.67,1788
7910,Yuzvendra Chahal,3.2,21.0,0.0,42.0,1.0,13.12,28.57,33.33,1.0,0.35,21.0,42.0,1788
9647,Hardik Pandya,2.0,12.0,0.0,22.0,0.0,11.0,16.67,33.33,0.0,0.0,0.0,0.0,1788
9647,Hardik Pandya,1.0,6.0,0.0,10.0,0.0,10.0,33.33,33.33,0.0,0.0,0.0,0.0,1794
8808,Axar Patel,2.0,12.0,0.0,13.0,3.0,6.5,66.67,25.0,0.0,2.31,4.0,4.33,1794
7910,Yuzvendra Chahal,1.0,6.0,0.0,12.0,0.0,12.0,0.0,16.67,0.0,0.0,0.0,0.0,1794
9311,Jasprit Bumrah,2.0,13.0,0.0,23.0,1.0,11.5,15.38,23.08,1.0,0.52,13.0,23.0,1794
8808,Axar Patel,4.0,24.0,0.0,33.0,3.0,8.25,50.0,29.17,0.0,1.02,8.0,11.0,1796
9311,Jasprit Bumrah,4.0,24.0,0.0,50.0,0.0,12.5,20.83,29.17,0.0,0.0,0.0,0.0,1796
9647,Hardik Pandya,3.0,18.0,0.0,23.0,0.0,7.67,55.56,22.22,0.0,0.0,0.0,0.0,1796
7910,Yuzvendra Chahal,4.0,24.0,0.0,22.0,2.0,5.5,33.33,4.17,0.0,0.66,12.0,11.0,1796
7836,Deepak Chahar,4.0,24.0,0.0,24.0,2.0,6.0,58.33,12.5,0.0,0.76,12.0,12.0,1800
13217,Arshdeep Singh,3.5,26.0,0.0,32.0,3.0,9.14,61.54,19.23,3.0,1.3,8.67,10.67,1800
8808,Axar Patel,4.0,25.0,0.0,16.0,1.0,4.0,64.0,8.0,1.0,0.4,25.0,16.0,1800
7836,Deepak Chahar,3.5,25.0,0.0,24.0,0.0,6.86,52.0,12.0,2.0,0.0,0.0,0.0,1803
13217,Arshdeep Singh,4.0,29.0,0.0,62.0,2.0,15.5,24.14,27.59,5.0,0.55,14.5,31.0,1803
8808,Axar Patel,4.0,24.0,0.0,53.0,1.0,13.25,20.83,29.17,0.0,0.27,24.0,53.0,1803
7836,Deepak Chahar,3.4,28.0,0.0,49.0,1.0,14.41,50.0,21.43,6.0,0.41,28.0,49.0,1805
10808,Mohammed Siraj,4.0,26.0,0.0,45.0,0.0,11.25,30.77,23.08,2.0,0.0,0.0,0.0,1805
8808,Axar Patel,1.0,6.0,0.0,13.0,0.0,13.0,16.67,33.33,0.0,0.0,0.0,0.0,1805
9647,Hardik Pandya,3.0,19.0,0.0,12.0,0.0,4.0,73.68,10.53,1.0,0.0,0.0,0.0,1984
7910,Yuzvendra Chahal,2.0,12.0,0.0,26.0,0.0,13.0,16.67,25.0,0.0,0.0,0.0,0.0,1984
8808,Axar Patel,3.0,19.0,0.0,31.0,2.0,10.33,21.05,15.79,1.0,0.75,9.5,15.5,1984
9647,Hardik Pandya,2.0,13.0,0.0,13.0,0.0,6.5,61.54,7.69,1.0,0.0,0.0,0.0,1985
