Player ID,Player Name,Match Number,Overs Bowled,Balls_Bowled,Maidens,Runs Conceded,Wickets,Economy Rate,Dot Ball %,Boundary %,Extras Given,Impact Wickets Per Over,Bowling Strike Rate,Bowling Average
8808,Axar Patel,2380,4,24,0,14,1,3.5,45.83,0,0,0.36,24,14
13217,Arshdeep Singh,2428,4,27,0,28,0,7,51.85,14.81,3,0,0,0
10754,Mukesh Kumar,2428,4,26,0,34,2,8.5,42.31,15.38,2,0.67,13,17
8808,Axar Patel,2428,4,24,0,23,2,5.75,45.83,8.33,0,0.71,12,11.5
10945,Washington Sundar,2428,3,18,0,28,0,9.33,33.33,22.22,0,0,0,0
11195,Shivam Dubey,2428,2,12,0,10,1,5,50,8.33,0,0.73,12,10
14659,Ravi Bishnoi,2428,3,18,0,35,0,11.67,16.67,27.78,0,0,0,0
13217,Arshdeep Singh,2431,4,27,0,32,5,8,51.85,14.81,3,1.81,5.4,6.4
10754,Mukesh Kumar,2431,2,12,0,21,0,10.5,41.67,33.33,0,0,0,0
14659,Ravi Bishnoi,2431,4,25,0,43,2,10.75,44,24,1,0.66,12.5,21.5
8808,Axar Patel,2431,4,25,0,17,2,4.25,48,4,1,0.73,12.5,8.5
11195,Shivam Dubey,2431,3,19,0,36,1,12,42.11,26.32,1,0.43,19,36
10945,Washington Sundar,2431,3,19,0,23,0,7.67,42.11,15.79,1,0,0,0
10754,Mukesh Kumar,2435,4.5,33,0,60,2,13.33,42.42,24.24,4,0.58,16.5,30
9781,Avesh Khan,2435,4,27,0,55,1,13.75,33.33,29.63,3,0.3,27,55
14659,Ravi Bishnoi,2435,4.3,27,0,40,2,9.3,29.63,18.52,0,0.56,13.5,20
10945,Washington Sundar,2435,3,20,0,18,3,6,45,5,2,1.42,6.67,6
11195,Shivam Dubey,2435,2,12,0,25,0,12.5,0,25,0,0,0,0
13217,Arshdeep Singh,2278,4,27,0,43,2,10.75,59.26,25.93,3,0.73,13.5,21.5
9781,Avesh Khan,2278,4,25,0,36,3,9,64,24,1,1.14,8.33,12
14659,Ravi Bishnoi,2278,4,25,0,25,3,6.25,48,12,1,1.06,8.33,8.33
10945,Washington Sundar,2278,1,6,0,11,0,11,33.33,16.67,0,0,0,0
11195,Shivam Dubey,2278,3,18,0,38,0,12.67,44.44,27.78,0,0,0,0
13217,Arshdeep Singh,2296,3,18,0,10,1,3.33,55.56,0,0,0.52,18,10
11195,Shivam Dubey,2296,1,6,0,10,0,10,33.33,16.67,0,0,0,0
10945,Washington Sundar,2296,4,25,0,15,2,3.75,68,4,1,0.83,12.5,7.5
14504,Tilak Verma,2296,2,13,0,6,1,3,69.23,0,1,0.85,13,6
14659,Ravi Bishnoi,2296,3.5,25,0,30,1,8.57,48,8,2,0.41,25,30
13217,Arshdeep Singh,2301,3,18,0,17,1,5.67,50,11.11,0,0.48,18,17
11195,Shivam Dubey,2301,1,6,0,4,1,4,83.33,16.67,0,1.75,6,4
10945,Washington Sundar,2301,2.2,19,0,24,1,10.91,52.63,15.79,5,0.66,19,24
14659,Ravi Bishnoi,2301,4,24,0,13,1,3.25,50,0,0,0.38,24,13
13217,Arshdeep Singh,2639,3.2,30,0,35,3,10.94,66.67,13.33,10,1.5,10,11.67
10808,Mohammed Siraj,2639,3,18,0,13,1,4.33,77.78,11.11,0,0.57,18,13
9311,Jasprit Bumrah,2639,3,18,0,10,2,3.33,72.22,0,0,1.15,9,5
9647,Hardik Pandya,2639,4,24,0,28,3,7,58.33,16.67,0,1.12,8,9.33
8808,Axar Patel,2639,1,6,0,3,1,3,50,0,0,1.5,6,3
587,Ravindra Jadeja,2639,1,6,0,7,0,7,33.33,16.67,0,0,0,0
13217,Arshdeep Singh,2658,3.5,25,0,33,1,9.43,48,16,2,0.4,25,33
10808,Mohammed Siraj,2658,4,26,0,20,0,5,50,3.85,2,0,0,0
9311,Jasprit Bumrah,2658,4,24,0,15,3,3.75,62.5,4.17,0,1.2,8,5
9647,Hardik Pandya,2658,4,25,0,24,2,6,48,8,1,0.72,12.5,12
587,Ravindra Jadeja,2658,2,12,0,10,0,5,41.67,8.33,0,0,0,0
8808,Axar Patel,2658,2,12,0,11,1,5.5,50,8.33,0,0.73,12,11
13217,Arshdeep Singh,2671,4,25,0,9,4,2.25,72,0,1,1.72,6.25,2.25
10808,Mohammed Siraj,2671,4,24,0,25,1,6.25,45.83,8.33,0,0.35,24,25
9311,Jasprit Bumrah,2671,3.2,25,0,25,0,7.81,60,8,5,0,0,0
9647,Hardik Pandya,2671,4,24,0,15,2,3.75,79.17,8.33,0,0.88,12,7.5
11195,Shivam Dubey,2671,1,6,0,11,0,11,50,33.33,0,0,0,0
8808,Axar Patel,2671,3,19,0,25,1,8.33,31.58,10.53,1,0.42,19,25
13217,Arshdeep Singh,2710,4,29,0,36,3,9,58.62,17.24,5,1.12,9.67,12
9311,Jasprit Bumrah,2710,4,24,0,12,3,3,83.33,4.17,0,1.36,8,4
8808,Axar Patel,2710,3,18,0,15,1,5,61.11,5.56,0,0.53,18,15
9647,Hardik Pandya,2710,2,13,0,15,0,7.5,69.23,15.38,1,0,0,0
587,Ravindra Jadeja,2710,3,18,0,20,1,6.67,22.22,5.56,0,0.4,18,20
13217,Arshdeep Singh,2716,4,25,0,30,2,7.5,52,20,1,0.71,12.5,15
9311,Jasprit Bumrah,2716,4,24,0,13,2,3.25,62.5,4.17,0,0.8,12,6.5
8808,Axar Patel,2716,2,12,0,26,0,13,16.67,33.33,0,0,0,0
9647,Hardik Pandya,2716,3,20,0,33,1,11,40,20,2,0.43,20,33
587,Ravindra Jadeja,2716,3,18,0,25,0,8.33,27.78,16.67,0,0,0,0
13217,Arshdeep Singh,2721,4,26,0,41,3,10.25,53.85,23.08,2,1.07,8.67,13.67
9311,Jasprit Bumrah,2721,4,24,0,31,1,7.75,45.83,16.67,0,0.34,24,31
8808,Axar Patel,2721,3,18,0,21,1,7,50,16.67,0,0.47,18,21
9647,Hardik Pandya,2721,4,25,0,47,0,11.75,36,28,1,0,0,0
587,Ravindra Jadeja,2721,1,6,0,17,0,17,0,50,0,0,0,0
13217,Arshdeep Singh,2724,2,12,0,18,0,9,41.67,25,0,0,0,0
